Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09112305,-6.38969612,-92.98,-11.75,2017.99,3678.75
107.09108184,-6.38972379,-90.21,-9.5,0.0,0.0
107.09104356,-6.38975138,-89.79,-10.5,0.0,11.22
107.09100403,-6.38977466,-87.79,-14.25,182.64,10905.72
107.0909622,-6.38979548,-83.8,-16.0,2914.41,10103.29
107.09092342,-6.38981338,-83.84,-18.5,527.33,4738.75
107.09088322,-6.38982926,-80.89,-6.75,963.56,1733.8
107.09084888,-6.38984169,-74.76,12.75,182.8,8963.42
107.09081236,-6.38985166,-71.41,11.75,229.58,10147.39
107.09077507,-6.38985908,-71.08,9.75,246.79,8597.17
107.09072479,-6.38986886,-71.45,11.5,543.56,9255.38
107.09067375,-6.38987819,-75.15,10.0,229.87,8715.06
107.09062103,-6.38988998,-73.9,10.33,426.99,6083.91
107.09057334,-6.38990127,-77.68,3.25,461.04,6901.08
107.09052014,-6.38991291,-78.86,2.75,354.71,6810.11
107.09047168,-6.38991934,-79.19,11.25,387.69,6495.36
107.09043239,-6.38992092,-77.86,14.25,523.05,5992.37
107.09038171,-6.38992365,-78.53,13.0,350.27,4037.59
107.09033873,-6.38992721,-78.61,12.5,442.05,5911.42
107.09030185,-6.3899319,-75.92,15.67,391.35,5471.07
107.09025885,-6.38993769,-81.23,13.0,516.65,6024.56
107.09021313,-6.38994248,-78.02,13.5,932.07,4862.53
107.09016761,-6.3899474,-76.46,12.0,314.11,4223.71
107.09012266,-6.38995044,-78.24,11.25,1017.52,4476.66
107.09007275,-6.38995311,-79.73,12.25,1782.25,4292.86
107.09001964,-6.38995574,-78.46,10.0,1142.83,4013.33
107.08996888,-6.3899614,-75.57,12.67,2662.12,4579.08
107.08991453,-6.38997067,-73.46,12.75,1804.63,4611.8
107.0898665,-6.38997915,-76.68,14.5,2391.43,2356.96
107.08981772,-6.38998692,-80.64,6.75,1185.69,3594.65
107.08977037,-6.38999505,-83.6,-1.25,3768.64,3865.93
107.08972682,-6.38999934,-82.69,1.5,2602.2,4245.07
107.08968206,-6.39000393,-84.25,2.5,3965.76,3751.63
107.08963779,-6.39000815,-84.85,1.0,3121.71,3293.22
107.08958975,-6.39001141,-86.5,-2.25,3906.08,3242.86
107.08954221,-6.39001924,-90.11,-2.25,4691.25,3566.33
